review,sentiment
"Great acting, great movie. If you are thinking of building see this movie first. The dollar amounts may have changed but everything else is the same. The humor is true to life and emotions are those that anyone who has built has felt.",positive
"I have this movie on a collection of inexpensive B-movies. It's not restored, in fact, the audio was difficult to discern for the first few minutes.<br /><br />At first, it seemed like a typical haunted house film, and feels very much like the forerunner of Clue, Murder by Death, House on Haunted Hill, etc.<br /><br />About a half hour into the film, the storyline takes a really interesting twist--and it goes from being a cliché melodrama to something entirely different, and far more entertaining than I had initially thought.<br /><br />Check it out, it's a great deal of fun, even if the long clips and wider shots (and near lack of music score) make it feel a bit creaky by today's standards.",positive
"When you think of brilliant Australian comedy you don't think of Skit shows (Although I'm quite partial to a bit of 80's and 90's Full Frontal) or even Sitcoms - you think of SATIRE! Something that we Australians really know how to do well. (Eg: Front Line, The Micallef Program) We know how to take the pi$$, and The Chaser's War on Everything, is a classic example of how to do it, and how to do it really well. <br /><br />I've been a huge fan of Chris Taylor and Craig Reucassel for a long time. I remember listening to them on Triple J's afternoon show. They were, and remain, two of the funniest comedians around.<br /><br />Although I was sad when they left Triple J, I was excited to find out what they were investing so much time in that made them have to leave. (They were doing CNNNN and Triple J at the same time, so I figured this was something much bigger) And what an amazingly HILARIOUS show Chaser is. Biting political and social satire at it's best.<br /><br />I'm also pleased to say that it has recently received a MUCH better time slot than Friday nights and has been moved to Wednesday nights right after Spicks and Specks. THANK YOU ABC!! Finally I don't have to tape it! :)",positive
"Guy Richie's third proper film (not counting the God-awful ""Swept Away"" is a complex action thriller concerned with gambling, gangsters and chess. Fans of Richie's previous efforts will probably hate Revolver as much as I did, with its twists and turns. Richie stalwart Jason Statham plays Jake, a newly-released ex-con, out to wreak revenge on the ridiculously named Dorothy Macha (a superbly OTT Ray Liotta) but instead gets embroiled with a couple of other cons, (one of which is Andre 3000 from rap outfit Outkast) who throw him and us the audience, a number of red herrings throughout the film, all of which becomes extremely tedious. The high point of this mess of a movie is the bit in the restaurant, where the dialogue gets turned down in favour of a superbly shot, slow-mo shootout set to Beethoven's Moonlight Sonata. All in all, Revolver is a flawed work, not truly awful but far from Richie's best. That would still be Lock, Stock. If this film was a school homework assignment it would be graded 'must try harder!'",negative
"SWEET SIXTEEN (1983) **/***** 86 minutes Director Jim Sotos Cast Bo Hopkins, Susan Strasberg, Aleisa Shirley, Patrick Macnee, Dana Kimmell<br /><br />Fifteen year old bad girl Melissa is new in a desert town and it isn't long before folks around her start dying off. The detective has to put together the clues with the help of his Nancy Drew good girl daughter played by Friday the 13th alumni Dana Kimmell. The local Native Americans are prime suspects since they seem to upset the prejudiced townsfolk. These events all lead up to the revealing of the killer at Melissa's sixteenth birthday party.<br /><br />This below average slasher isn't too memorable. It has a made for TV feel, without much score besides the title character's own corny theme song which plays a couple times throughout. Lines like ""the killer will turn us into coleslaw."" Fit into standard eighties slasher screenplays. Marci calls Melissa a bad name then somehow immediately they develop a friendship. Apparently Marci sees how hard it is to fit in because Melissa knows how to wear make-up. This movie would be hard-pressed to be made today with the main character being fifteen and the director inserting multiple gratuitous close-ups of her. The social commentary on Indians wasn't developed enough to be taken seriously. I am too surprised at the fairly high rating this movie gets. Both Sweet Sixteen and Ed Hunt's Bloody Birthday had the potential to capitalize on that time honored tradition of the birthday party to create an intense sequence of carnage but I feel failed to deliver. But on the bright side releasing obscure movies like this on DVD gives hope that others will follow.",negative
"It is so nice to see Bruce Willis come down off his action throne and let us see that he really is a talented actor. He shines in this film as the near-40-year-old image consultant who has totally lost touch with his inner child--until he meets him face to face. This is one of those rare films that doesn't talk down to its audience and truly offers something for the WHOLE family. It is about caring for each other, keeping some of the child inside you, and realizing that you don't grow up exactly the way you thought you would. Willis seems to be building an impressive track record for working with kids (just witness ""The Sixth Sense"" with Haley Joel Osment), and he has great chemistry with Spencer Breslin here. There is some nice photography and music, and the ending is wonderful and uplifting. A great film to see with EVERY member of your family.",positive
"Johny To makes here one of his best style exercises, making a strong film with a good Yakuza's story. The election of the new Yakuza's boss is the beginning of a war inside the organization.<br /><br />In my opinion the violence is wise used in the context, making a very strong gangs film. I specially love the way he tells the history, moving around all the roles inside the Yakuza's family, and making that we see the violence, like the only way they have to solve their problems...<br /><br />Talking about, the technical aspects, the film is a good example of paused, rythmic and planified way of shooting a film. One of the Hong Kong Films of the year. Is like Infernal affairs, but without the easy action-violence scenes, and the confused storyline. Strongly recommended to all Asian films lovers.<br /><br />(sorry for my English, better do in Spanish lol)",positive
"This is only the second time I stopped a video/DVD part way through.<br /><br />I was willing to give this film the benefit of the doubt at first, even though it managed to be both shallow, clichéd and stupid.. AND joyless, plodding and pretentious.<br /><br />It was like an After School Special directed by that weird grade nine kid who thinks nobody understands him... creepy and sad, with voice-over narration that only the most deluded adolescent would consider poetry... and some singing, and... no, really, the poor child's suffering...<br /><br />Enough, already, especially when it morphed into a brazen, clumsy, and insulting Clockwork Orange ripoff. And did I mention the singing?<br /><br />This isn't the worst film I've ever seen, but certainly the one I've felt least compelled to sit through. I don't recommend it to anyone.",negative
"<br /><br />This film is a summary of Visconti's obssessions: the decadence of nobility, death, aesthetic search, homosexuality...All mingled with melancholic mastery. Slow-paced just to make you abler to contemplate all its beauty (which is in the music and the images as well as in the story)this is the type of film we are not allowed to enjoy anymore, brave, deeply personal and intelligent. The genuine fruit of a genius like Visconti.",positive
"This is what I was expecting when star trek DS9 premiered. Not to slight DS9. That was a wonderful show in it's own right, however it never really gave the fans more of what they wanted. Enterprise is that show. While having a similarity to the original trek it differs enough to be original in it's own ways. It makes the ideas of exploration exciting to us again. And that was one of the primary ingredients that made the original so loved. Another ingredient to success was the relationships that evolved between the crew members. Viewers really cared deeply for the crew. Enterprise has much promise in this area as well. The chemistry between Bakula and Blalock seems very promising. While sexual tension in a show can often become a crutch, I feel the tensions on enterprise can lead to much more and say alot more than is typical. I think when we deal with such grand scale characters of different races or species even, we get some very interesting ideas and television. Also, we should note the performances, Blalock is very convincing as Vulcan T'pol and Bacula really has a whimsy and strength of character that delivers a great performance. The rest of the cast delivered good performances also. My only gripes are as follows. The theme. It's good it's different, but a little to light hearted for my liking. We need something a little more grand. Doesn't have to be orchestral. Maybe something with a little more electronic sound would suffice. And my one other complaint. They sell too many adds. They could fix this by selling less ads, or making all shows two parters. Otherwise we'll end up seeing the shows final act getting wrapped up way too quickly as was one of my complaints of Voyager.",positive
